Time,I,Q
51:08.9,525,523
51:08.9,519,520
51:08.9,517,528
51:08.9,517,528
51:08.9,520,520
51:08.9,525,521
51:08.9,523,520
51:08.9,521,523
51:08.9,521,523
51:08.9,523,521
51:08.9,526,524
51:09.0,523,521
51:09.0,526,522
51:09.0,524,523
51:09.0,519,524
51:09.0,521,524
51:09.0,524,523
51:09.0,518,526
51:09.0,521,522
51:09.0,519,522
51:09.0,525,522
51:09.0,520,522
51:09.0,515,519
51:09.0,527,518
51:09.0,523,524
51:09.0,518,521
51:09.0,524,520
51:09.0,521,518
51:09.0,525,524
51:09.0,522,522
51:09.0,522,524
51:09.0,517,520
51:09.0,523,519
51:09.0,523,517
51:09.0,520,522
51:09.0,520,518
51:09.0,530,525
51:09.0,524,523
51:09.0,522,521
51:09.0,526,523
51:09.0,517,519
51:09.0,522,523
51:09.0,519,523
51:09.0,511,526
51:09.0,512,519
51:09.0,522,523
51:09.0,523,521
51:09.0,527,520
51:09.0,522,521
51:09.0,522,520
51:09.0,522,520
51:09.1,525,520
51:09.1,521,520
51:09.1,517,520
51:09.1,517,521
51:09.1,520,524
51:09.1,525,521
51:09.1,531,520
51:09.1,527,523
51:09.1,524,522
51:09.1,523,522
51:09.1,523,520
51:09.1,527,520
51:09.1,521,522
51:09.1,518,522
51:09.1,524,524
51:09.1,522,522
51:09.1,523,520
51:09.1,521,522
51:09.1,520,522
51:09.1,521,517
51:09.1,521,518
51:09.1,526,522
51:09.1,518,519
51:09.1,524,520
51:09.1,522,524
51:09.1,520,523
51:09.1,520,518
51:09.1,524,523
51:09.1,521,523
51:09.1,525,518
51:09.1,530,523
51:09.1,523,522
51:09.1,524,522
51:09.1,519,523
51:09.1,527,521
51:09.1,520,522
51:09.1,526,522
51:09.1,520,524
51:09.1,521,524
51:09.1,527,523
51:09.2,523,519
51:09.2,526,524
51:09.2,520,525
51:09.2,522,524
51:09.2,523,523
51:09.2,521,525
51:09.2,524,521
51:09.2,521,524
51:09.2,524,523
51:09.2,523,525
51:09.2,519,524
51:09.2,521,522
51:09.2,522,525
51:09.2,518,522
51:09.2,519,521
51:09.2,521,524
51:09.2,521,519
51:09.2,525,522
51:09.2,526,518
51:09.2,519,520
51:09.2,522,523
51:09.2,522,519
51:09.2,522,521
51:09.2,524,522
51:09.2,519,524
51:09.2,518,518
51:09.2,520,521
51:09.2,523,522
51:09.2,523,519
51:09.2,523,521
51:09.2,519,519
51:09.2,523,521
51:09.2,523,520
51:09.2,527,522
51:09.2,527,516
51:09.2,525,519
51:09.2,524,520
51:09.2,525,520
51:09.3,525,522
51:09.3,525,522
51:09.3,524,521
51:09.3,526,520
51:09.3,529,523
51:09.3,515,521
51:09.3,522,524
51:09.3,522,524
51:09.3,519,525
51:09.3,520,524
51:09.3,518,523
51:09.3,525,524
51:09.3,522,525
51:09.3,521,521
51:09.3,526,522
51:09.3,520,521
51:09.3,519,518
51:09.3,531,521
51:09.3,524,518
51:09.3,522,517
51:09.3,525,521
51:09.3,518,518
51:09.3,526,519
51:09.3,525,519
51:09.3,528,520
51:09.3,524,524
51:09.3,521,522
51:09.3,524,523
51:09.3,528,519
51:09.3,524,521
51:09.3,526,523
51:09.3,526,525
51:09.3,521,520
51:09.3,525,524
51:09.3,519,523
51:09.3,523,522
51:09.3,525,525
51:09.3,521,520
51:09.3,527,522
51:09.3,523,524
51:09.4,518,522
51:09.4,524,523
51:09.4,521,521
51:09.4,522,521
51:09.4,523,520
51:09.4,524,523
51:09.4,524,523
51:09.4,521,523
51:09.4,520,520
51:09.4,525,519
51:09.4,523,520
51:09.4,520,519
51:09.4,519,520
51:09.4,522,518
51:09.4,522,521
51:09.4,521,519
51:09.4,522,518
51:09.4,521,521
51:09.4,520,517
51:09.4,529,527
51:09.4,520,519
51:09.4,524,519
51:09.4,527,519
51:09.4,523,524
51:09.4,515,521
51:09.4,527,520
51:09.4,529,523
51:09.4,524,520
51:09.4,526,522
51:09.4,527,519
51:09.4,525,521
51:09.4,518,521
51:09.4,524,523
51:09.4,520,523
51:09.4,523,525
51:09.4,522,524
51:09.4,520,520
51:09.4,526,525
51:09.4,522,527
51:09.4,519,522
51:09.4,518,521
51:09.5,523,523
51:09.5,521,525
51:09.5,524,524
51:09.5,524,520
51:09.5,521,527
51:09.5,515,527
51:09.5,517,523
51:09.5,521,520
51:09.5,529,521
51:09.5,519,519
51:09.5,520,520
51:09.5,530,524
51:09.5,518,525
51:09.5,520,521
51:09.5,520,519
51:09.5,531,522
51:09.5,522,515
51:09.5,521,520
51:09.5,523,521
51:09.5,525,521
51:09.5,523,524
51:09.5,524,524
51:09.5,515,518
51:09.5,527,521
51:09.5,522,520
51:09.5,520,522
51:09.5,526,519
51:09.5,521,521
51:09.5,527,523
51:09.5,524,523
51:09.5,525,524
51:09.5,519,522
51:09.5,526,523
51:09.5,521,521
51:09.5,527,525
51:09.5,519,519
51:09.5,521,526
51:09.5,520,527
51:09.5,519,523
51:09.5,525,521
51:09.5,522,527
51:09.5,516,522
51:09.5,525,520
51:09.5,523,521
51:09.5,525,522
51:09.5,525,521
51:09.5,519,525
51:09.5,520,525
51:09.5,518,524
51:09.5,519,527
51:09.5,518,523
51:09.5,522,522
51:09.5,524,521
51:09.5,521,519
51:09.5,523,521
51:09.5,521,525
51:09.5,522,519
51:09.5,518,520
51:09.5,525,517
51:09.5,525,517
51:09.6,520,519
51:09.6,519,518
51:09.6,523,519
51:09.6,524,517
51:09.6,525,520
51:09.6,524,521
51:09.6,525,521
51:09.6,521,521
51:09.6,529,522
51:09.6,527,527
51:09.6,518,525
51:09.6,519,524
51:09.6,518,519
51:09.6,520,522
51:09.6,521,521
51:09.6,525,524
51:09.6,521,519
51:09.6,524,519
51:09.6,519,522
51:09.6,521,518
51:09.6,522,524
51:09.6,524,517
51:09.6,527,524
51:09.6,520,518
51:09.6,528,519
51:09.6,521,523
51:09.6,518,519
51:09.6,523,522
51:09.6,517,521
51:09.6,523,519
51:09.6,527,520
51:09.6,520,525
51:09.6,527,521
51:09.6,525,521
51:09.6,523,524
51:09.6,519,519
51:09.6,521,519
51:09.6,526,523
51:09.6,519,517
51:09.6,525,520
51:09.6,522,517
51:09.7,527,519
51:09.7,522,521
51:09.7,523,516
51:09.7,530,521
51:09.7,522,522
51:09.7,526,521
51:09.7,526,523
51:09.7,526,522
51:09.7,524,524
51:09.7,517,522
51:09.7,521,524
51:09.7,516,523
51:09.7,520,524
51:09.7,524,522
51:09.7,525,522
51:09.7,520,519
51:09.7,522,520
51:09.7,518,520
51:09.7,523,520
51:09.7,523,524
51:09.7,523,521
51:09.7,526,524
51:09.7,518,522
51:09.7,516,522
51:09.7,520,522
51:09.7,521,520
51:09.7,529,518
51:09.7,527,523
51:09.7,528,525
51:09.7,520,520
51:09.7,523,524
51:09.7,519,522
51:09.7,519,523
51:09.7,524,527
51:09.7,521,523
51:09.7,527,515
51:09.7,529,521
51:09.7,524,521
51:09.7,524,522
51:09.7,522,522
51:09.8,522,523
51:09.8,524,521
51:09.8,522,522
51:09.8,528,527
51:09.8,524,527
51:09.8,519,524
51:09.8,523,524
51:09.8,519,524
51:09.8,519,529
51:09.8,516,526
51:09.8,523,522
51:09.8,520,521
51:09.8,525,521
51:09.8,527,520
51:09.8,533,523
51:09.8,522,522
51:09.8,521,522
51:09.8,523,521
51:09.8,524,525
51:09.8,520,522
51:09.8,525,523
51:09.8,517,522
51:09.8,522,522
51:09.8,522,520
51:09.8,527,524
51:09.8,515,522
51:09.8,519,523
51:09.8,528,524
51:09.8,525,522
51:09.8,515,522
51:09.8,520,521
51:09.8,519,523
51:09.8,518,525
51:09.8,525,521
51:09.8,523,521
51:09.8,520,524
51:09.8,516,524
51:09.8,520,522
51:09.8,522,521
51:09.8,519,521
51:09.9,526,523
51:09.9,525,523
51:09.9,522,519
51:09.9,524,521
51:09.9,524,523
51:09.9,524,522
51:09.9,526,519
51:09.9,523,518
51:09.9,529,524
51:09.9,524,522
51:09.9,520,526
51:09.9,515,525
51:09.9,516,519
51:09.9,527,520
51:09.9,528,520
51:09.9,520,524
51:09.9,520,518
51:09.9,521,521
51:09.9,521,522
51:09.9,523,524
51:09.9,522,522
51:09.9,524,523
51:09.9,528,521
51:09.9,529,523
51:09.9,525,520
51:09.9,516,524
51:09.9,521,519
51:09.9,524,518
51:09.9,526,521
51:09.9,519,521
51:09.9,523,519
51:09.9,525,523
51:09.9,521,523
51:09.9,520,525
51:09.9,521,523
51:09.9,518,522
51:09.9,519,521
51:09.9,526,522
51:09.9,518,518
51:09.9,523,521
51:10.0,524,524
51:10.0,520,523
51:10.0,526,523
51:10.0,522,520
51:10.0,522,521
51:10.0,524,522
51:10.0,523,526
