Time,I,Q
51:10.4,522,522
51:10.4,524,521
51:10.4,519,522
51:10.4,525,523
51:10.4,523,520
51:10.4,522,521
51:10.4,516,527
51:10.4,521,528
51:10.4,522,523
51:10.4,519,521
51:10.4,522,519
51:10.4,527,519
51:10.4,522,521
51:10.4,518,523
51:10.4,523,524
51:10.4,524,522
51:10.4,522,522
51:10.4,524,520
51:10.4,523,523
51:10.4,524,526
51:10.4,518,524
51:10.4,522,521
51:10.4,527,521
51:10.4,525,521
51:10.4,521,520
51:10.4,520,523
51:10.4,525,521
51:10.4,532,520
51:10.4,524,525
51:10.5,519,520
51:10.5,528,525
51:10.5,523,520
51:10.5,519,523
51:10.5,521,517
51:10.5,523,522
51:10.5,518,521
51:10.5,527,521
51:10.5,523,523
51:10.5,522,523
51:10.5,525,525
51:10.5,522,523
51:10.5,521,523
51:10.5,522,521
51:10.5,520,520
51:10.5,517,523
51:10.5,520,520
51:10.5,515,524
51:10.5,517,518
51:10.5,522,519
51:10.5,523,522
51:10.5,526,525
51:10.5,519,521
51:10.5,521,524
51:10.5,522,520
51:10.5,526,522
51:10.5,526,522
51:10.5,524,517
51:10.5,529,527
51:10.5,520,524
51:10.5,523,524
51:10.5,518,518
51:10.5,526,520
51:10.5,520,523
51:10.5,523,520
51:10.5,523,521
51:10.5,520,520
51:10.5,526,524
51:10.5,519,517
51:10.5,527,520
51:10.5,522,519
51:10.5,524,523
51:10.5,519,519
51:10.6,523,519
51:10.6,521,521
51:10.6,521,522
51:10.6,527,521
51:10.6,518,520
51:10.6,524,525
51:10.6,517,523
51:10.6,526,521
51:10.6,518,520
51:10.6,522,525
51:10.6,520,524
51:10.6,523,522
51:10.6,521,525
51:10.6,519,526
51:10.6,518,521
51:10.6,520,522
51:10.6,527,521
51:10.6,523,523
51:10.6,524,524
51:10.6,524,522
51:10.6,521,523
51:10.6,517,524
51:10.6,526,526
51:10.6,524,522
51:10.6,524,522
51:10.6,529,521
51:10.6,524,525
51:10.6,525,521
51:10.6,520,528
51:10.6,520,524
51:10.6,519,523
51:10.6,521,522
51:10.6,524,518
51:10.6,521,522
51:10.6,525,519
51:10.6,527,524
51:10.6,528,524
51:10.6,522,528
51:10.6,520,523
51:10.6,520,523
51:10.6,525,525
51:10.6,517,525
51:10.6,520,524
51:10.7,524,522
51:10.7,522,520
51:10.7,523,521
51:10.7,524,522
51:10.7,524,522
51:10.7,523,521
51:10.7,522,523
51:10.7,514,519
51:10.7,523,520
51:10.7,522,525
51:10.7,522,524
51:10.7,521,520
51:10.7,522,523
51:10.7,522,521
51:10.7,520,520
51:10.7,526,522
51:10.7,519,524
51:10.7,520,520
51:10.7,518,522
51:10.7,524,523
51:10.7,520,522
51:10.7,525,521
51:10.7,526,522
51:10.7,522,522
51:10.7,521,518
51:10.7,520,520
51:10.7,529,521
51:10.7,524,518
51:10.7,526,521
51:10.7,523,526
51:10.7,521,521
51:10.7,521,519
51:10.7,523,522
51:10.7,520,519
51:10.7,518,523
51:10.7,522,519
51:10.7,522,521
51:10.7,525,522
51:10.7,524,526
51:10.7,517,521
51:10.7,526,526
